ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-11-09,5TDESKFC3SS156949,2025,Sienna Platinum,,False,Port to dealer,60570,Cypress,Black&nbsp;leather-trimmed,18,Cochran Toyota,https://www.cochrantoyota.com,False,1500W inverter [120v_cargo] | 50 State Emissions | Alloy Wheel Locks[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Platinum Package | Roof Rack Cross Bars[installed_msrp]
2024-11-12,5TDESKFC3SS157812,2025,Sienna Platinum,DealerHold,True,Port to dealer,62558,Wind Chill Pearl [extra_cost_color],Black&nbsp;leather-trimmed,9,Rohrich Toyota,https://www.rohrichtoyota.com,True,"1500W inverter [120v_cargo] | 50 State Emissions | All-Weather Liners for  Vacuum and FridgeBox™ Package models[installed_msrp] | Cargo Organizer[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Integrated Dashcam[installed_msrp] | Mudguards | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Platinum Package | Premium Paint"
2024-11-14,5TDESKFC3SS157888,2025,Sienna Platinum,,False,Port to dealer,61804,Magnetic Gray Metallic,Macadamia&nbsp;leather-trimmed,9,Rohrich Toyota,https://www.rohrichtoyota.com,True,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather Liners for  Vacuum and FridgeBox™ Package models[installed_msrp] | Cargo Organizer[installed_msrp] | Connected Services Trial Offering 2 addtl | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Mudguards | Owner's Portfolio | Platinum Package | Roof Rack Cross Bars[installed_msrp]
2024-12-16,5TDESKFC3SS47D666,2025,Sienna Platinum,,False,Factory to port,61919,Wind Chill Pearl [extra_cost_color],Black&nbsp;leather-trimmed,30,Toyota of Greensburg,https://www.toyotaofgreensburg.com,True,1500W inverter [120v_cargo] | 50 State Emissions | Body Side Moldings[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Emergency Assistance Kit[installed_msrp] | Entertainment Package | Illuminated Door Sills[installed_msrp] | Mudguards | Platinum Package | Premium Paint | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
2024-10-28,5TDESKFC4SS154692,2025,Sienna Platinum,DealerHold,True,At dealer,61024,Ruby Flare Pearl [extra_cost_color],Macadamia&nbsp;leather-trimmed,9,Rohrich Toyota,https://www.rohrichtoyota.com,True,1500W inverter [120v_cargo] | 50 State Emissions | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Platinum Package | Premium Paint | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
2024-11-03,5TDESKFC4SS156717,2025,Sienna Platinum,DealerHold,False,Port to dealer,61144,Celestial Silver Metallic,Black&nbsp;leather-trimmed,13,Spitzer Toyota,https://www.spitzertoyota.com,False,1500W inverter [120v_cargo] | 50 State Emissions | Body Side Moldings[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Platinum Package | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
2024-11-29,5TDESKFC4SS45C583,2025,Sienna Platinum,,False,Factory to port,61194,Magnetic Gray Metallic,Black&nbsp;leather-trimmed,30,Toyota of Greensburg,https://www.toyotaofgreensburg.com,True,1500W inverter [120v_cargo] | 50 State Emissions | Digital rearview mirror with HomeLink® universal transceiver | Emergency Assistance Kit[installed_msrp] | Entertainment Package | Illuminated Door Sills[installed_msrp] | Mudguards | Platinum Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
2024-12-09,5TDESKFC4SS46D051,2025,Sienna Platinum,DealerHold,False,Factory to port,62123,Wind Chill Pearl [extra_cost_color],Macadamia&nbsp;leather-trimmed,11,Baierl Toyota,https://www.baierltoyota.com,True,"1500W inverter [120v_cargo] | 50 State Emissions | Cargo Net with Pouch[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Door Sill Protectors[installed_msrp] | Entertainment Package | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Platinum Package | Premium Paint | Protection Package[installed_msrp] | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp]"
Unknown,5TDESKFC5RS149138,2024,Sienna Platinum,Available,False,At dealer,56934,Celestial Silver Metallic,Nobel Brown Leather,46,Victory Toyota Highlands,https://www.victorytoyotahighlands.com,False,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Digital Rearview Mirror with HomeLink® Universal Transceiver | Illuminated Door Sills[installed_msrp] | Owner's Portfolio | Platinum Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Spare tire
2024-11-17,5TDESKFC5SS43E366,2025,Sienna Platinum,DealerHold,False,Factory to port,62293,Cypress,Black&nbsp;leather-trimmed,11,Baierl Toyota,https://www.baierltoyota.com,True,"1500W inverter [120v_cargo] | 50 State Emissions | All-Weather Liners for  Vacuum and FridgeBox™ Package models[installed_msrp] | Cargo Organizer[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Integrated Dashcam[installed_msrp] | Mudguards | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Platinum Package | Roof Rack Cross Bars[installed_msrp]"
2024-11-22,5TDESKFC5SS44D696,2025,Sienna Platinum,DealerHold,False,Factory to port,60549,Midnight Black Metallic,Black&nbsp;leather-trimmed,38,Preston Toyota,https://www.prestontoyota.com,True,1500W inverter [120v_cargo] | 50 State Emissions | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Platinum Package | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
Unknown,5TDESKFC6RS153330,2024,Sienna Platinum,DealerHold,False,At dealer,57879,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,61,Toyota of Warren,https://www.toyotaofwarren.com,True,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather Floor Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | Cargo Net with Pouch[installed_msrp] | Cargo Tray[installed_msrp] | Digital Rearview Mirror with HomeLink® Universal Transceiver | Door Sill Protectors[installed_msrp] | Integrated Dashcam[installed_msrp] | PRO CARE | Platinum Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Special Color
2024-10-30,5TDESKFC6SS156007,2025,Sienna Platinum,Available,False,Port to dealer,60270,Midnight Black Metallic,Black&nbsp;leather-trimmed,85,Toyota of Kent,https://www.toyotaofkent.com,True,1500W inverter [120v_cargo] | 50 State Emissions | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Platinum Package
2024-11-02,5TDESKFC6SS156282,2025,Sienna Platinum,DealerHold,False,Port to dealer,60685,Celestial Silver Metallic,Black&nbsp;leather-trimmed,60,Laurel Toyota,https://www.laureltoyotapa.com,False,1500W inverter [120v_cargo] | 50 State Emissions | All-Weather Liners for  Vacuum and FridgeBox™ Package models[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Mudguards | Owner's Portfolio | Platinum Package
2024-11-10,5TDESKFC6SS156976,2025,Sienna Platinum,Available,False,Port to dealer,61982,Blueprint,Macadamia&nbsp;leather-trimmed,2,Jim Shorkey Toyota,https://www.jimshorkeytoyota.com,True,"1500W inverter [120v_cargo] | 50 State Emissions | Alloy Wheel Locks[installed_msrp] | Body Side Moldings[installed_msrp] | Cargo Organizer[installed_msrp] | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Paint Protection Film: Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Platinum Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp]"
2024-10-25,5TDESKFC7SS157330,2025,Sienna Platinum,DealerHold,False,At dealer,61339,Magnetic Gray Metallic,Black&nbsp;leather-trimmed,87,Ken Ganley Toyota Akron,https://www.kenganleytoyotaakron.com,True,1500W inverter [120v_cargo] | 50 State Emissions | Digital rearview mirror with HomeLink® universal transceiver | Entertainment Package | Illuminated Door Sills[installed_msrp] | Integrated Dashcam[installed_msrp] | Platinum Package | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp]
